Freeness,Consistency,Correction
190,0.3,0
200,0.3,0
210,0.3,0
220,0.3,0
230,0.3,0
240,0.3,0
250,0.3,0
260,0.3,0
270,0.3,0
280,0.3,0
290,0.3,0
300,0.3,0
310,0.3,0
320,0.3,0
330,0.3,0
340,0.3,0
350,0.3,0
360,0.3,0
370,0.3,0
380,0.3,0
390,0.3,0
400,0.3,0
420,0.3,0
440,0.3,0
460,0.3,0
480,0.3,0
500,0.3,0
520,0.3,0
540,0.3,0
560,0.3,0
580,0.3,0
600,0.3,0
620,0.3,0
640,0.3,0
660,0.3,0
680,0.3,0
700,0.3,0
20,0.31,2
30,0.31,2
40,0.31,3
50,0.31,3
60,0.31,3
70,0.31,3
80,0.31,4
90,0.31,4
100,0.31,4
110,0.31,4
120,0.31,4
130,0.31,4
140,0.31,4
150,0.31,4
160,0.31,4
170,0.31,5
180,0.31,5
190,0.31,5
200,0.31,5
210,0.31,5
220,0.31,5
230,0.31,6
240,0.31,6
250,0.31,6
260,0.31,6
270,0.31,7
280,0.31,7
290,0.31,7
300,0.31,7
310,0.31,7
320,0.31,7
330,0.31,7
340,0.31,7
350,0.31,7
360,0.31,7
370,0.31,7
380,0.31,7
390,0.31,7
400,0.31,7
420,0.31,7
440,0.31,7
460,0.31,7
480,0.31,7
500,0.31,7
520,0.31,7
540,0.31,6
560,0.31,6
580,0.31,6
600,0.31,6
620,0.31,5
640,0.31,5
660,0.31,5
680,0.31,4
700,0.31,4
20,0.32,3
30,0.32,4
40,0.32,5
50,0.32,6
60,0.32,6
70,0.32,6
80,0.32,7
90,0.32,7
100,0.32,7
110,0.32,8
120,0.32,8
130,0.32,8
140,0.32,8
150,0.32,8
160,0.32,8
170,0.32,9
180,0.32,10
190,0.32,10
200,0.32,10
210,0.32,10
220,0.32,11
230,0.32,12
240,0.32,12
250,0.32,12
260,0.32,13
270,0.32,13
280,0.32,13
290,0.32,13
300,0.32,13
310,0.32,13
320,0.32,13
330,0.32,14
340,0.32,14
350,0.32,14
360,0.32,14
370,0.32,14
380,0.32,14
390,0.32,14
400,0.32,14
420,0.32,14
440,0.32,14
460,0.32,14
480,0.32,14
500,0.32,14
520,0.32,14
540,0.32,13
560,0.32,12
580,0.32,12
600,0.32,11
620,0.32,10
640,0.32,10
660,0.32,9
680,0.32,9
700,0.32,8
20,0.33,5
30,0.33,6
40,0.33,7
50,0.33,8
60,0.33,9
70,0.33,9
80,0.33,10
90,0.33,10
100,0.33,11
110,0.33,11
120,0.33,11
130,0.33,12
140,0.33,12
